Folds, Iterations, Learning Rate, Accuracy Average
4,10,0.0001,0.508
10,10,0.0001,0.489
4,100,0.0001,0.663
10,100,0.0001,0.589
4,200,0.0001,0.613
10,200,0.0001,0.694
4,300,0.0001,0.624
10,300,0.0001,0.708
4,400,0.0001,0.701
10,400,0.0001,0.69
4,600,0.0001,0.814
10,600,0.0001,0.806
4,800,0.0001,0.712
10,800,0.0001,0.798
4,1000,0.0001,0.737
10,1000,0.0001,0.84
4,1110,0.0001,0.778
10,1110,0.0001,0.856
4,1500,0.0001,0.919
10,1500,0.0001,0.85
4,10000,0.0001,0.934
10,10000,0.0001,0.948
4,10,0.001,0.514
10,10,0.001,0.635
4,100,0.001,0.82
10,100,0.001,0.783
4,200,0.001,0.905
10,200,0.001,0.887
4,300,0.001,0.866
10,300,0.001,0.867
4,400,0.001,0.904
10,400,0.001,0.959
4,600,0.001,0.969
10,600,0.001,0.925
4,800,0.001,0.944
10,800,0.001,0.939
4,1000,0.001,0.948
10,1000,0.001,0.97
4,1110,0.001,0.96
10,1110,0.001,0.93
4,1500,0.001,0.939
10,1500,0.001,0.951
4,10000,0.001,0.971
10,10000,0.001,0.948
4,10,0.003,0.855
10,10,0.003,0.589
4,100,0.003,0.909
10,100,0.003,0.909
4,200,0.003,0.901
10,200,0.003,0.947
4,300,0.003,0.891
10,300,0.003,0.964
4,400,0.003,0.951
10,400,0.003,0.963
4,600,0.003,0.929
10,600,0.003,0.966
4,800,0.003,0.937
10,800,0.003,0.955
4,1000,0.003,0.947
10,1000,0.003,0.978
4,1110,0.003,0.965
10,1110,0.003,0.967
4,1500,0.003,0.978
10,1500,0.003,0.974
4,10000,0.003,0.994
10,10000,0.003,0.987
4,10,0.007,0.613
10,10,0.007,0.619
4,100,0.007,0.956
10,100,0.007,0.935
4,200,0.007,0.954
10,200,0.007,0.943
4,300,0.007,0.975
10,300,0.007,0.946
4,400,0.007,0.975
10,400,0.007,0.982
4,600,0.007,0.944
10,600,0.007,0.964
4,800,0.007,0.976
10,800,0.007,0.987
4,1000,0.007,0.971
10,1000,0.007,0.991
4,1110,0.007,0.977
10,1110,0.007,0.982
4,1500,0.007,0.978
10,1500,0.007,0.98
4,10000,0.007,0.989
10,10000,0.007,0.987
4,10,0.01,0.735
10,10,0.01,0.714
4,100,0.01,0.891
10,100,0.01,0.963
4,200,0.01,0.972
10,200,0.01,0.973
4,300,0.01,0.978
10,300,0.01,0.983
4,400,0.01,0.966
10,400,0.01,0.985
4,600,0.01,0.978
10,600,0.01,0.976
4,800,0.01,0.961
10,800,0.01,0.989
4,1000,0.01,0.991
10,1000,0.01,0.988
4,1110,0.01,0.992
10,1110,0.01,0.988
4,1500,0.01,0.977
10,1500,0.01,0.984
4,10000,0.01,0.99
10,10000,0.01,0.992
4,10,0.03,0.604
10,10,0.03,0.54
4,100,0.03,0.967
10,100,0.03,0.971
4,200,0.03,0.977
10,200,0.03,0.973
4,300,0.03,0.981
10,300,0.03,0.988
4,400,0.03,0.983
10,400,0.03,0.987
4,600,0.03,0.99
10,600,0.03,0.982
4,800,0.03,0.988
10,800,0.03,0.988
4,1000,0.03,0.991
10,1000,0.03,0.978
4,1110,0.03,0.993
10,1110,0.03,0.994
4,1500,0.03,0.991
10,1500,0.03,0.993
4,10000,0.03,0.994
10,10000,0.03,0.991
4,10,0.07,0.508
10,10,0.07,0.508
4,100,0.07,0.974
10,100,0.07,0.966
4,200,0.07,0.977
10,200,0.07,0.976
4,300,0.07,0.97
10,300,0.07,0.982
4,400,0.07,0.988
10,400,0.07,0.987
4,600,0.07,0.991
10,600,0.07,0.989
4,800,0.07,0.989
10,800,0.07,0.989
4,1000,0.07,0.987
10,1000,0.07,0.99
4,1110,0.07,0.992
10,1110,0.07,0.988
4,1500,0.07,0.994
10,1500,0.07,0.988
4,10000,0.07,0.991
10,10000,0.07,0.993
4,10,0.1,0.481
10,10,0.1,0.5
4,100,0.1,0.972
10,100,0.1,0.972
4,200,0.1,0.979
10,200,0.1,0.972
4,300,0.1,0.984
10,300,0.1,0.983
4,400,0.1,0.984
10,400,0.1,0.987
4,600,0.1,0.991
10,600,0.1,0.989
4,800,0.1,0.988
10,800,0.1,0.994
4,1000,0.1,0.99
10,1000,0.1,0.992
4,1110,0.1,0.993
10,1110,0.1,0.991
4,1500,0.1,0.996
10,1500,0.1,0.992
4,10000,0.1,0.993
10,10000,0.1,0.993
4,10,0.3,0.509
10,10,0.3,0.491
4,100,0.3,0.971
10,100,0.3,0.971
4,200,0.3,0.974
10,200,0.3,0.975
4,300,0.3,0.979
10,300,0.3,0.982
4,400,0.3,0.971
10,400,0.3,0.984
4,600,0.3,0.988
10,600,0.3,0.985
4,800,0.3,0.99
10,800,0.3,0.99
4,1000,0.3,0.991
10,1000,0.3,0.991
4,1110,0.3,0.99
10,1110,0.3,0.991
4,1500,0.3,0.99
10,1500,0.3,0.993
4,10000,0.3,0.992
10,10000,0.3,0.992
4,10,0.7,0.511
10,10,0.7,0.51
4,100,0.7,0.969
10,100,0.7,0.97
4,200,0.7,0.974
10,200,0.7,0.974
4,300,0.7,0.98
10,300,0.7,0.981
4,400,0.7,0.983
10,400,0.7,0.982
4,600,0.7,0.989
10,600,0.7,0.987
4,800,0.7,0.989
10,800,0.7,0.991
4,1000,0.7,0.986
10,1000,0.7,0.995
4,1110,0.7,0.987
10,1110,0.7,0.99
4,1500,0.7,0.994
10,1500,0.7,0.992
4,10000,0.7,0.99
10,10000,0.7,0.993
